iter	Passed	Remaining
0	49	49784
1	52	26094
2	54	18158
3	56	14160
4	59	11768
5	65	10916
6	71	10133
7	76	9432
8	82	9043
9	86	8578
10	90	8131
11	94	7758
12	97	7422
13	101	7138
14	104	6842
15	106	6571
16	110	6378
17	113	6178
18	116	5996
19	118	5813
20	121	5642
21	123	5485
22	125	5350
23	128	5227
24	130	5106
25	133	4997
26	135	4891
27	138	4791
28	140	4702
29	143	4640
30	146	4569
31	148	4492
32	150	4415
33	153	4349
34	155	4280
35	157	4217
36	160	4167
37	162	4115
38	165	4069
39	167	4020
40	169	3970
41	171	3922
42	174	3880
43	176	3841
44	180	3821
45	183	3796
46	185	3767
47	188	3732
48	190	3697
49	193	3670
50	196	3657
51	199	3633
52	202	3613
53	204	3582
54	206	3553
55	209	3535
56	213	3525
57	215	3506
58	218	3482
59	220	3457
60	223	3433
61	225	3413
62	228	3393
63	230	3377
64	233	3359
65	235	3336
66	238	3314
67	240	3296
68	242	3276
69	245	3262
70	248	3245
71	250	3227
72	252	3207
73	255	3192
74	257	3174
75	260	3161
76	263	3161
77	268	3171
78	283	3303
79	300	3456
80	312	3545
81	320	3592
82	323	3578
83	326	3561
84	329	3544
85	341	3628
86	347	3649
87	350	3632
88	352	3612
89	355	3590
90	357	3568
91	359	3547
92	361	3528
93	364	3511
94	366	3494
95	369	3480
96	372	3467
97	374	3448
98	376	3430
99	379	3413
100	382	3401
101	384	3386
102	387	3371
103	389	3355
104	391	3339
105	394	3324
106	396	3311
107	399	3298
108	401	3284
109	404	3269
110	406	3253
111	408	3238
112	410	3225
113	413	3212
114	415	3201
115	418	3187
116	420	3174
117	422	3161
118	425	3146
119	427	3134
120	429	3121
121	432	3109
122	434	3100
123	437	3088
124	439	3076
125	441	3063
126	444	3052
127	446	3040
128	448	3030
129	451	3019
130	453	3008
131	455	2998
132	458	2986
133	460	2976
134	462	2965
135	465	2959
136	468	2951
137	470	2940
138	473	2930
139	475	2920
140	477	2910
141	480	2902
142	482	2894
143	485	2884
144	487	2875
145	489	2865
146	492	2855
147	494	2846
148	497	2839
149	499	2830
150	501	2821
151	504	2812
152	506	2803
153	508	2793
154	510	2785
155	513	2778
156	515	2770
157	518	2762
158	520	2753
159	522	2744
160	525	2736
161	527	2728
162	530	2721
163	532	2715
164	534	2707
165	537	2699
166	539	2691
167	541	2683
168	544	2675
169	547	2671
170	549	2662
171	551	2654
172	554	2648
173	556	2642
174	559	2636
175	562	2631
176	565	2627
177	568	2623
178	571	2621
179	574	2615
180	576	2610
181	579	2604
182	582	2600
183	585	2594
184	587	2589
185	590	2584
186	593	2580
187	596	2576
188	599	2573
189	602	2567
190	604	2560
191	606	2553
192	609	2546
193	611	2541
194	614	2535
195	616	2528
196	618	2521
197	620	2515
198	623	2508
199	625	2501
200	628	2499
201	631	2493
202	633	2487
203	635	2481
204	638	2475
205	640	2469
206	642	2463
207	645	2457
208	647	2451
209	650	2446
210	652	2439
211	654	2434
212	657	2428
213	659	2423
214	663	2421
215	665	2416
216	668	2410
217	670	2405
218	672	2399
219	675	2396
220	678	2392
221	681	2387
222	683	2381
223	685	2375
224	688	2370
225	690	2364
226	693	2359
227	695	2355
228	697	2349
229	700	2344
230	702	2339
231	704	2333
232	706	2327
233	709	2322
234	711	2317
235	714	2312
236	716	2306
237	718	2301
238	721	2296
239	723	2291
240	726	2287
241	729	2283
242	731	2278
243	733	2272
244	735	2267
245	738	2262
246	740	2257
247	742	2252
248	745	2248
249	747	2243
250	750	2238
251	752	2233
252	754	2228
253	757	2223
254	759	2219
255	762	2215
256	764	2210
257	767	2206
258	769	2201
259	771	2196
260	774	2191
261	776	2188
262	779	2183
263	781	2178
264	783	2173
265	785	2168
266	788	2163
267	790	2158
268	792	2154
269	795	2150
270	797	2145
271	799	2140
272	802	2136
273	804	2131
274	806	2126
275	809	2122
276	811	2118
277	813	2113
278	815	2108
279	818	2103
280	820	2099
281	822	2094
282	825	2091
283	828	2087
284	830	2083
285	832	2078
286	834	2074
287	837	2069
288	839	2065
289	841	2060
290	844	2056
291	846	2052
292	848	2048
293	851	2043
294	853	2039
295	855	2034
296	858	2032
297	861	2028
298	863	2025
299	866	2020
300	868	2016
301	870	2012
302	875	2014
303	878	2010
304	880	2006
305	882	2002
306	885	1997
307	887	1993
308	889	1989
309	892	1986
310	894	1981
311	896	1977
312	899	1973
313	901	1969
